name	timestamp	powerave	powermin	powermax	tempave	tempmin	tempmax	utilave	utilmin	utilmax	gmemave	gmemmin	gmemmax
cbsugpu10	2025-10-31 09:00:00.000	18.0425	17.88	18.2	34.25	34	35	0	0	0	0	0	0
cbsugpu10	2025-10-31 08:00:00.000	17.3475	16.55	18.37	34	34	34	0	0	0	0	0	0
cbsugpu10	2025-10-31 07:00:00.000	16.8125	16.13	17.28	34.5	34	35	0	0	0	0	0	0
cbsugpu10	2025-10-31 06:00:00.000	17.0875	16.67	17.62	34.25	34	35	0	0	0	0	0	0
cbsugpu10	2025-10-31 05:00:00.000	17.7	17.27	18.05	35	35	35	0	0	0	0	0	0
cbsugpu10	2025-10-31 04:00:00.000	17.525	17.05	17.8	35	35	35	0	0	0	0	0	0
cbsugpu10	2025-10-31 03:00:00.000	17.955	17.47	18.31	35	35	35	0	0	0	0	0	0
cbsugpu10	2025-10-31 02:00:00.000	17.1575	16.07	17.98	35	35	35	0	0	0	0	0	0
cbsugpu10	2025-10-31 01:00:00.000	17.0175	16.3	17.6	34.25	34	35	0	0	0	0	0	0
cbsugpu10	2025-10-31 00:00:00.000	17.405	16.92	17.67	34	34	34	0	0	0	0	0	0
cbsugpu10	2025-10-30 23:00:00.000	17.835	17.26	18.35	34.5	34	35	0	0	0	0	0	0
cbsugpu10	2025-10-30 22:00:00.000	16.885	15.8	17.53	34.25	34	35	0	0	0	0	0	0
cbsugpu10	2025-10-30 21:00:00.000	17.545	16.66	18.76	34	34	34	0	0	0	0	0	0
cbsugpu10	2025-10-30 20:00:00.000	17.6625	17.18	18.1	34.5	34	35	0	0	0	0	0	0
cbsugpu10	2025-10-30 19:00:00.000	18.2875	17.81	18.64	35	35	35	0	0	0	0	0	0
cbsugpu10	2025-10-30 18:00:00.000	18.665	18.43	18.78	34.5	34	35	0	0	0	0	0	0
cbsugpu10	2025-10-30 17:00:00.000	17.95	17.71	18.21	34	34	34	0	0	0	0	0	0
cbsugpu10	2025-10-30 16:00:00.000	17.9325	17.86	18.04	34	34	34	0	0	0	0	0	0
cbsugpu10	2025-10-30 15:00:00.000	17.625	16.85	18.01	34	34	34	0	0	0	0	0	0
cbsugpu10	2025-10-30 14:00:00.000	18.0025	17.75	18.18	34	34	34	0	0	0	0	0	0
cbsugpu10	2025-10-30 13:00:00.000	17.655	17.18	18.3	34	34	34	0	0	0	0	0	0
cbsugpu10	2025-10-30 12:00:00.000	17.87	17.1	18.23	34	34	34	0	0	0	0	0	0
cbsugpu10	2025-10-30 11:00:00.000	18.015	17.32	18.94	34	34	34	0	0	0	0	0	0
cbsugpu10	2025-10-30 10:00:00.000	18.69	16.94	20.57	35.5	34	37	0	0	0	0	0	0
cbsugpu10	2025-10-30 09:00:00.000	19.9875	19.72	20.45	36	36	36	0	0	0	0	0	0
cbsugpu10	2025-10-30 08:00:00.000	19.4875	19.2	20.08	36	36	36	0	0	0	0	0	0
cbsugpu10	2025-10-30 07:00:00.000	19.7175	19.55	19.93	36	36	36	0	0	0	0	0	0
cbsugpu10	2025-10-30 06:00:00.000	19.095	18.65	19.49	36	36	36	0	0	0	0	0	0
cbsugpu10	2025-10-30 05:00:00.000	17.975	17.59	18.36	34.25	34	35	0	0	0	0	0	0
cbsugpu10	2025-10-30 04:00:00.000	17.55	16.97	18.1	34	34	34	0	0	0	0	0	0
cbsugpu10	2025-10-30 03:00:00.000	17.4625	16.99	17.85	34	34	34	0	0	0	0	0	0
cbsugpu10	2025-10-30 02:00:00.000	17.7075	17.18	18.37	34	34	34	0	0	0	0	0	0
cbsugpu10	2025-10-30 01:00:00.000	18.225	17.61	18.7	34	34	34	0	0	0	0	0	0
cbsugpu10	2025-10-30 00:00:00.000	18.82	18.2	19.59	34	34	34	0	0	0	0	0	0
cbsugpu10	2025-10-29 23:00:00.000	19.1225	18.76	19.44	34	34	34	0	0	0	0	0	0
cbsugpu10	2025-10-29 22:00:00.000	18.445	17.49	19.5	34	34	34	0	0	0	0	0	0
cbsugpu10	2025-10-29 21:00:00.000	18.8025	18.17	19.12	34	34	34	0	0	0	0	0	0
cbsugpu10	2025-10-29 20:00:00.000	19.36	19	19.71	34.25	34	35	0	0	0	0	0	0
cbsugpu10	2025-10-29 19:00:00.000	19.0175	18.22	19.38	35	35	35	0	0	0	0	0	0
cbsugpu10	2025-10-29 18:00:00.000	18.7575	18.52	19.38	35	35	35	0	0	0	0	0	0
cbsugpu10	2025-10-29 17:00:00.000	18.1725	17.47	18.8	34.5	34	35	0	0	0	0	0	0
cbsugpu10	2025-10-29 16:00:00.000	18.4075	18.32	18.51	34	34	34	0	0	0	0	0	0
cbsugpu10	2025-10-29 15:00:00.000	19.8	18.63	20.4	36	34	37	0	0	0	0	0	0
cbsugpu10	2025-10-29 14:00:00.000	19.78	19.4	20.19	36.5	36	37	0	0	0	0	0	0
cbsugpu10	2025-10-29 13:00:00.000	19.0475	18.71	19.32	35.5	35	36	0	0	0	0	0	0
cbsugpu10	2025-10-29 12:00:00.000	17.135	16.62	17.81	34	34	34	0	0	0	0	0	0
cbsugpu10	2025-10-29 11:00:00.000	16.9375	16.24	17.44	34	34	34	0	0	0	0	0	0
cbsugpu10	2025-10-29 10:00:00.000	16.45	15.43	16.97	34	34	34	0	0	0	0	0	0
cbsugpu10	2025-10-29 09:00:00.000	16.8475	16.39	17.87	34	34	34	0	0	0	0	0	0
cbsugpu10	2025-10-29 08:00:00.000	19.905	19.75	20.05	37	37	37	0	0	0	0	0	0
cbsugpu10	2025-10-29 07:00:00.000	19.6425	19.41	19.93	36.5	36	37	0	0	0	0	0	0
cbsugpu10	2025-10-29 06:00:00.000	19.4525	19.35	19.64	36	36	36	0	0	0	0	0	0
cbsugpu10	2025-10-29 05:00:00.000	18.5	17.47	19.42	34.75	34	36	0	0	0	0	0	0
cbsugpu10	2025-10-29 04:00:00.000	17.6275	17.24	18.59	34	34	34	0	0	0	0	0	0
cbsugpu10	2025-10-29 03:00:00.000	17.17	16.89	17.58	34	34	34	0	0	0	0	0	0
cbsugpu10	2025-10-29 02:00:00.000	17.4325	16.73	18.35	34	34	34	0	0	0	0	0	0
cbsugpu10	2025-10-29 01:00:00.000	16.89	16.15	17.64	34	34	34	0	0	0	0	0	0
cbsugpu10	2025-10-29 00:00:00.000	17.23	16.66	17.68	34	34	34	0	0	0	0	0	0
