name	timestamp	powerave	powermin	powermax	tempave	tempmin	tempmax	utilave	utilmin	utilmax	gmemave	gmemmin	gmemmax
cbsugpu08	2025-10-20 14:00:00.000	50.12375	49.56	50.63	36.5	36	37	0	0	0	0	0	0
cbsugpu08	2025-10-20 13:00:00.000	50.0325	49.47	50.6	36.5	36	37	0	0	0	0	0	0
cbsugpu08	2025-10-20 12:00:00.000	49.885	49.44	50.24	36.5	36	37	0	0	0	0	0	0
cbsugpu08	2025-10-20 11:00:00.000	49.93375	49.55	50.32	36.625	36	37	0	0	0	0	0	0
cbsugpu08	2025-10-20 10:00:00.000	50.26375	49.6	50.96	37.375	36	38	0	0	0	0	0	0
cbsugpu08	2025-10-20 09:00:00.000	49.9475	49.01	51.03	36	34	38	0	0	0	0	0	0
cbsugpu08	2025-10-20 08:00:00.000	50.06875	48.99	51.17	36.125	34	39	0	0	0	0	0	0
cbsugpu08	2025-10-20 07:00:00.000	50.05875	49	51.14	36.125	34	39	0	0	0	0	0	0
cbsugpu08	2025-10-20 06:00:00.000	50.12	49.02	51.16	36.5	34	39	0	0	0	0	0	0
cbsugpu08	2025-10-20 05:00:00.000	50.01	49.05	51.15	36.125	34	39	0	0	0	0	0	0
cbsugpu08	2025-10-20 04:00:00.000	50.1325	49.04	51.17	36.125	34	39	0	0	0	0	0	0
cbsugpu08	2025-10-20 03:00:00.000	50.09375	49.02	51.1	36	34	38	0	0	0	0	0	0
cbsugpu08	2025-10-20 02:00:00.000	50.0825	49.07	51.15	36	34	38	0	0	0	0	0	0
cbsugpu08	2025-10-20 01:00:00.000	50.03875	49.1	51.1	36	34	38	0	0	0	0	0	0
cbsugpu08	2025-10-20 00:00:00.000	50.09375	49.02	51.19	36.125	34	39	0	0	0	0	0	0
cbsugpu08	2025-10-19 23:00:00.000	49.90875	49.04	50.81	36	34	38	0	0	0	0	0	0
cbsugpu08	2025-10-19 22:00:00.000	50.03625	49.06	51	36	34	38	0	0	0	0	0	0
cbsugpu08	2025-10-19 21:00:00.000	50.0875	49.19	51.19	36.25	34	39	0	0	0	0	0	0
cbsugpu08	2025-10-19 20:00:00.000	50.09	49.06	51.16	36	34	38	0	0	0	0	0	0
cbsugpu08	2025-10-19 19:00:00.000	50.25125	49.29	51.18	36.375	34	39	0	0	0	0	0	0
cbsugpu08	2025-10-19 18:00:00.000	50.22875	49.19	51.18	36.75	34	39	0	0	0	0	0	0
cbsugpu08	2025-10-19 17:00:00.000	50.20625	49.32	51.11	36	34	38	0	0	0	0	0	0
cbsugpu08	2025-10-19 16:00:00.000	50.21	49.05	51.17	36.5	34	39	0	0	0	0	0	0
cbsugpu08	2025-10-19 15:00:00.000	50.06125	48.93	51.19	36.25	34	39	0	0	0	0	0	0
cbsugpu08	2025-10-19 14:00:00.000	50.045	48.95	51.16	36.125	34	39	0	0	0	0	0	0
cbsugpu08	2025-10-19 13:00:00.000	50.0725	48.95	51.17	36.25	34	39	0	0	0	0	0	0
cbsugpu08	2025-10-19 12:00:00.000	50.17125	49	51.17	36.375	34	39	0	0	0	0	0	0
cbsugpu08	2025-10-19 11:00:00.000	50.1525	49.2	51.2	36.25	34	39	0	0	0	0	0	0
cbsugpu08	2025-10-19 10:00:00.000	50.21875	49.13	51.19	36.5	34	39	0	0	0	0	0	0
cbsugpu08	2025-10-19 09:00:00.000	50.1025	49.02	51.18	36.25	34	39	0	0	0	0	0	0
cbsugpu08	2025-10-19 08:00:00.000	50.12625	49.13	51.17	36.125	34	39	0	0	0	0	0	0
cbsugpu08	2025-10-19 07:00:00.000	50.21375	49.12	51.17	36.25	34	39	0	0	0	0	0	0
cbsugpu08	2025-10-19 06:00:00.000	50.105	48.99	51.17	36.375	34	39	0	0	0	0	0	0
cbsugpu08	2025-10-19 05:00:00.000	50.19375	49.18	51.15	36.25	34	39	0	0	0	0	0	0
cbsugpu08	2025-10-19 04:00:00.000	49.97	49.1	50.83	36	34	38	0	0	0	0	0	0
cbsugpu08	2025-10-19 03:00:00.000	49.89875	49.02	50.76	36	34	38	0	0	0	0	0	0
cbsugpu08	2025-10-19 02:00:00.000	86.84375	48.78	346.72	39.625	32	69	12.5	0	100	10.125	0	81
cbsugpu08	2025-10-19 01:00:00.000	196.7575	48.78	345.83	50.875	32	70	50	0	100	39.125	0	83
cbsugpu08	2025-10-19 00:00:00.000	345	100	346.82	66.625	64	70	99.125	96	100	72.625	66	82
cbsugpu08	2025-10-18 23:00:00.000	345.5075	100	346.6	66.875	64	70	99.5	97	100	78.5	68	84
cbsugpu08	2025-10-18 22:00:00.000	345.15	100	346.33	67	64	70	99.75	98	100	71.25	67	82
cbsugpu08	2025-10-18 21:00:00.000	345.205	100	346.74	66.75	64	70	99.5	98	100	72.375	68	83
cbsugpu08	2025-10-18 20:00:00.000	345.00125	100	346.25	67.125	64	70	99.375	97	100	73.375	68	83
cbsugpu08	2025-10-18 19:00:00.000	345.4325	100	347.13	67.5	65	70	99.25	97	100	71.75	64	81
cbsugpu08	2025-10-18 18:00:00.000	345.2275	100	346.42	67.25	65	70	99.75	98	100	73.875	68	83
cbsugpu08	2025-10-18 17:00:00.000	345.5425	100	347.91	67.5	64	70	99.75	98	100	74.875	68	83
cbsugpu08	2025-10-18 16:00:00.000	345.7375	100	347.21	67.75	65	70	99.5	98	100	74.375	66	83
cbsugpu08	2025-10-18 15:00:00.000	345.94375	100	347.62	67.5	65	70	99.5	96	100	74.25	66	84
cbsugpu08	2025-10-18 14:00:00.000	345.17625	100	346.74	67.125	64	70	99.75	98	100	77.5	68	84
cbsugpu08	2025-10-18 13:00:00.000	345.96	100	347.26	67.5	65	70	99.75	98	100	71.125	68	82
